@relation training_keyboard_practica2-weka.filters.unsupervised.attribute.Remove-R34-64-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R32

@attribute totalScore numeric
@attribute POSx numeric
@attribute POSy numeric
@attribute module numeric
@attribute angle numeric
@attribute direction {Stop,East,West,North,South}
@attribute wall_ahead {True,False}
@attribute G1_POSX numeric
@attribute G1_POSY numeric
@attribute G2_POSX numeric
@attribute G2_POSY numeric
@attribute G3_POSX numeric
@attribute G3_POSY numeric
@attribute G4_POSX numeric
@attribute G4_POSY numeric
@attribute ALIVE_G1 {True,False}
@attribute ALIVE_G2 {True,False}
@attribute ALIVE_G3 {True,False}
@attribute ALIVE_G4 {True,False}
@attribute ghost_count numeric
@attribute G1_DIST numeric
@attribute G2_DIST numeric
@attribute G3_DIST numeric
@attribute G4_DIST numeric
@attribute closest_posX numeric
@attribute closest_posY numeric
@attribute G1_CLOSE {True,False}
@attribute G2_CLOSE {True,False}
@attribute G3_CLOSE {True,False}
@attribute G4_CLOSE {True,False}
@attribute ghost_is_close {True,False}

@data
0,1,18,9.85,-66.04,Stop,True,5,9,11,3,17,6,25,13,True,True,True,True,4,13,25,28,29,5,9,False,False,False,False,False
-1,1,18,10.77,-68.2,Stop,True,5,8,10,3,17,6,25,13,True,True,True,True,4,14,24,28,28,5,8,False,False,False,False,False
-2,1,18,11.18,-63.43,Stop,True,6,8,9,3,18,6,25,14,True,True,True,True,4,15,23,29,29,6,8,False,False,False,False,False
-3,1,18,10.77,-68.2,Stop,True,5,8,9,3,18,6,25,13,True,True,True,True,4,14,23,29,29,5,8,False,False,False,False,False
-4,1,18,10.44,-73.3,Stop,False,4,8,9,3,18,6,25,13,True,True,True,True,4,13,23,29,28,4,8,False,False,False,False,False
-5,2,18,10.05,-84.29,East,False,3,8,10,3,18,5,25,14,True,True,True,True,4,11,23,29,27,3,8,False,True,False,False,True
-6,3,18,9,-90,East,False,3,9,11,3,18,5,25,14,True,True,True,True,4,9,23,28,27,3,9,False,False,False,False,False
-7,4,18,8.06,-97.13,East,False,3,10,11,4,18,5,25,13,True,True,True,True,4,9,21,27,25,3,10,True,False,False,False,True
-8,3,18,8,-90,West,False,3,10,11,4,17,5,25,14,True,True,True,True,4,8,22,27,25,3,10,False,False,False,False,False
-9,2,18,9.06,-83.66,West,False,3,9,11,5,17,6,25,15,True,True,True,True,4,10,22,27,26,3,9,False,True,False,False,True
-10,1,18,8.25,-75.96,West,False,3,10,11,5,18,6,25,15,True,True,True,True,4,10,23,29,26,3,10,False,False,False,False,False
-11,1,17,8.25,-75.96,South,False,3,9,11,6,17,6,24,15,True,True,True,True,4,10,21,27,24,3,9,False,False,False,False,False
-12,1,16,8.25,-75.96,South,False,3,8,10,6,17,6,24,16,True,True,True,True,4,10,19,26,24,3,8,False,False,False,False,False
-13,1,15,7.62,-66.8,South,False,4,8,10,6,16,6,25,16,True,True,True,True,4,10,18,24,26,4,8,False,False,False,False,False
-14,1,14,5.83,-59.04,South,False,4,9,11,6,16,6,25,17,True,True,True,True,4,8,18,23,28,4,9,False,False,False,False,False
-15,1,13,5.66,-45,South,False,5,9,11,7,15,6,25,18,True,True,True,True,4,8,16,21,28,5,9,False,False,False,False,False
-16,1,12,5,-36.87,South,False,5,9,11,7,16,6,25,17,True,True,True,True,4,7,15,21,28,5,9,False,False,False,False,False
-17,1,11,5,-36.87,South,False,5,8,11,7,15,6,25,16,True,True,True,True,4,7,14,19,29,5,8,False,False,False,False,False
-18,1,10,4.12,-14.04,South,False,5,9,11,8,14,6,25,16,True,True,True,True,4,5,12,17,30,5,9,False,False,True,False,True
-19,1,9,3,0,South,False,4,9,11,8,15,6,25,16,True,True,True,True,4,3,11,17,31,4,9,False,False,False,False,False
-20,1,8,3.16,18.43,South,False,4,9,11,7,14,6,25,16,True,True,True,True,4,4,11,15,31,4,9,False,False,False,False,False
-21,1,7,4.47,26.57,South,False,5,9,11,7,14,6,24,16,True,True,True,True,4,6,10,14,32,5,9,False,False,False,False,False
-22,1,6,4.47,26.57,South,False,5,8,11,7,14,6,24,16,True,True,True,True,4,6,11,13,34,5,8,False,False,False,False,False
-23,2,6,2.83,45,East,False,4,8,11,8,15,6,25,16,True,True,True,True,4,4,11,13,32,4,8,False,False,False,False,False
-24,3,6,2,90,East,False,3,8,10,8,14,6,25,15,True,True,True,True,4,2,9,11,32,3,8,False,False,False,False,False
-25,4,6,2.24,116.57,East,False,3,8,10,7,14,5,25,16,True,True,True,True,4,3,7,11,30,3,8,True,False,False,False,True
-26,4,7,1,180,North,False,3,7,10,6,14,5,25,15,True,True,True,True,4,1,7,12,30,3,7,True,False,False,False,True
-27,4,8,2.24,-116.57,North,False,3,6,10,7,13,5,25,16,True,True,True,True,4,3,7,12,28,3,6,True,False,False,False,True
-28,3,8,1,-90,West,True,3,7,9,7,14,5,25,15,True,True,True,True,4,1,7,14,30,3,7,False,False,True,False,True
171,3,8,6.32,-18.43,West,True,1,1,9,6,14,5,25,16,False,True,True,True,3,0,8,14,29,9,6,False,False,False,False,False
170,3,8,6.32,-18.43,West,False,1,1,9,6,13,5,25,15,False,True,True,True,3,0,8,13,28,9,6,False,False,False,False,False
169,3,7,5.1,-11.31,South,False,1,1,8,6,13,5,24,15,False,True,True,True,3,0,6,12,28,8,6,False,False,True,False,True
168,3,6,5.1,-11.31,South,False,1,1,8,5,13,4,24,14,False,True,True,True,3,0,6,12,30,8,5,False,False,True,False,True
