@relation training_tutorial1
@attribute diff numeric
@attribute totalScore numeric
@attribute POSx numeric
@attribute POSy numeric
@attribute module numeric
@attribute angle numeric
@attribute direction {Stop,East,West,North,South}
@attribute wall_ahead {True,False}
@attribute G1_POSX numeric
@attribute G1_POSY numeric
@attribute G2_POSX numeric
@attribute G2_POSY numeric
@attribute G3_POSX numeric
@attribute G3_POSY numeric
@attribute G4_POSX numeric
@attribute G4_POSY numeric
@attribute ALIVE_G1 {True,False}
@attribute ALIVE_G2 {True,False}
@attribute ALIVE_G3 {True,False}
@attribute ALIVE_G4 {True,False}
@attribute ghost_count numeric
@attribute G1_DIST numeric
@attribute G2_DIST numeric
@attribute G3_DIST numeric
@attribute G4_DIST numeric
@attribute closest_posX numeric
@attribute closest_posY numeric
@attribute G1_CLOSE {True,False}
@attribute G2_CLOSE {True,False}
@attribute G3_CLOSE {True,False}
@attribute G4_CLOSE {True,False}
@attribute ghost_is_close {True,False}
@attribute action {Stop, East, West, North, South}
@data
0,0,4,12,8.6,-35.54,Stop,False,9,3,11,7,19,12,22,9,True,True,True,True,0,14,12,15,21,11,7,False,False,False,False,False,South
-1,-1,4,11,7.62,-23.2,South,False,9,3,11,8,18,12,22,9,True,True,True,True,0,13,10,15,20,11,8,False,False,False,False,False,South
-1,-2,4,10,7.62,-23.2,South,False,9,4,11,7,19,12,22,9,True,True,True,True,0,11,10,17,20,11,7,False,False,False,False,False,South
-1,-3,4,9,7.07,-8.13,South,False,10,4,11,8,20,12,23,9,True,True,True,True,1,11,8,19,19,11,8,False,False,True,False,True,South
-1,-4,4,8,7.07,8.13,South,False,10,5,11,9,21,12,23,9,True,True,True,True,0,9,8,21,19,11,9,False,False,False,False,False,North
-1,-5,4,9,7.0,0.0,North,False,10,5,11,9,21,12,23,8,True,True,True,True,0,10,7,20,21,11,9,False,False,False,False,False,East
-1,-6,5,9,7.0,0.0,East,False,11,5,12,9,21,11,23,7,True,True,True,True,0,10,7,18,21,12,9,False,False,False,False,False,East
-1,-7,6,9,6.08,9.46,East,False,10,5,12,10,20,11,23,6,True,True,True,True,0,8,7,16,19,12,10,False,False,False,False,False,North
-1,-8,6,10,5.0,0.0,North,False,9,5,11,10,21,11,22,6,True,True,True,True,0,8,5,16,19,11,10,False,False,False,False,False,East
-1,-9,7,10,4.12,-14.04,East,False,9,5,11,9,21,11,22,7,True,True,True,True,1,7,5,15,17,11,9,False,False,True,False,True,South
-1,-10,7,9,3.0,0.0,South,False,9,5,10,9,20,11,21,7,True,True,True,True,0,6,3,15,17,10,9,False,False,False,False,False,East
-1,-11,8,9,2.24,26.57,East,False,9,4,10,10,20,11,22,7,True,True,True,True,0,6,3,14,15,10,10,False,False,False,False,False,North
-1,-12,8,10,1.0,0.0,North,False,9,5,9,10,20,11,22,8,True,True,True,True,1,6,1,13,17,9,10,False,True,False,False,True,East
199,187,9,10,5.0,-90.0,East,False,9,5,3,1,20,10,23,8,True,False,True,True,0,5,0,11,15,9,5,False,False,False,False,False,South
-1,186,9,9,5.0,-90.0,South,False,9,4,3,1,21,10,22,8,True,False,True,True,0,5,0,13,15,9,4,False,False,False,False,False,South
-1,185,9,8,5.0,-90.0,South,False,9,3,3,1,22,10,23,8,True,False,True,True,0,5,0,15,15,9,3,False,False,False,False,False,South
-1,184,9,7,3.0,-90.0,South,False,9,4,3,1,23,10,23,7,True,False,True,True,0,3,0,17,13,9,4,False,False,False,False,False,South
-1,183,9,6,2.24,-63.43,South,False,10,4,3,1,23,9,22,7,True,False,True,True,1,3,0,17,14,10,4,False,True,False,False,True,South
-1,182,9,5,2.24,-63.43,South,False,10,3,3,1,23,9,22,7,True,False,True,True,1,3,0,18,16,10,3,False,True,False,False,True,South
-1,181,9,4,1.0,-90.0,South,False,9,3,3,1,23,9,23,7,True,False,True,True,1,1,0,19,16,9,3,False,False,True,False,True,South
199,380,9,3,13.6,17.1,South,False,1,1,3,1,23,9,22,7,False,False,True,True,0,0,0,20,18,22,7,False,False,False,False,False,North
-1,379,9,4,13.6,17.1,North,False,1,1,3,1,23,9,22,8,False,False,True,True,0,0,0,19,18,22,8,False,False,False,False,False,North
-1,378,9,5,14.32,12.09,North,False,1,1,3,1,23,9,23,8,False,False,True,True,0,0,0,18,17,23,8,False,False,False,False,False,North
-1,377,9,6,14.14,8.13,North,False,1,1,3,1,23,9,23,8,False,False,True,True,0,0,0,17,15,23,8,False,False,False,False,False,North
-1,376,9,7,14.0,0.0,North,False,1,1,3,1,23,9,23,7,False,False,True,True,0,0,0,16,14,23,7,False,False,False,False,False,East
-1,375,10,7,13.0,0.0,East,False,1,1,3,1,23,9,23,7,False,False,True,True,0,0,0,15,12,23,7,False,False,False,False,False,East
-1,374,11,7,11.0,0.0,East,False,1,1,3,1,23,9,22,7,False,False,True,True,0,0,0,14,12,22,7,False,False,False,False,False,East
-1,373,12,7,10.05,5.71,East,False,1,1,3,1,22,9,22,8,False,False,True,True,0,0,0,12,10,22,8,False,False,False,False,False,North
-1,372,12,8,9.0,0.0,North,False,1,1,3,1,22,10,21,8,False,False,True,True,0,0,0,12,10,21,8,False,False,False,False,False,East
-1,371,13,8,8.06,7.13,East,False,1,1,3,1,22,10,21,9,False,False,True,True,0,0,0,11,9,21,9,False,False,False,False,False,North
-1,370,13,9,8.0,0.0,North,False,1,1,3,1,22,9,21,9,False,False,True,True,0,0,0,9,7,21,9,False,False,False,False,False,East
-1,369,14,9,6.0,0.0,East,False,1,1,3,1,22,10,20,9,False,False,True,True,0,0,0,9,7,20,9,False,False,False,False,False,East
-1,368,15,9,5.1,11.31,East,False,1,1,3,1,22,11,20,10,False,False,True,True,0,0,0,9,5,20,10,False,False,False,False,False,North
-1,367,15,10,5.1,-11.31,North,False,1,1,3,1,22,11,20,9,False,False,True,True,1,0,0,8,7,20,9,False,False,True,False,True,South
-1,366,15,9,5.1,-11.31,South,False,1,1,3,1,21,11,20,8,False,False,True,True,1,0,0,8,6,20,8,False,False,True,False,True,South
-1,365,15,8,5.0,0.0,South,False,1,1,3,1,21,11,20,8,False,False,True,True,0,0,0,9,6,20,8,False,False,False,False,False,East
-1,364,16,8,4.12,-14.04,East,False,1,1,3,1,21,11,20,7,False,False,True,True,1,0,0,8,6,20,7,False,False,True,False,True,South
-1,363,16,7,5.0,0.0,South,False,1,1,3,1,21,11,21,7,False,False,True,True,0,0,0,9,6,21,7,False,False,False,False,False,East
-1,362,17,7,4.12,-14.04,East,False,1,1,3,1,22,11,21,6,False,False,True,True,1,0,0,9,4,21,6,False,False,True,False,True,South
-1,361,17,6,3.0,0.0,South,False,1,1,3,1,22,12,20,6,False,False,True,True,0,0,0,11,4,20,6,False,False,False,False,False,East
-1,360,18,6,2.24,26.57,East,False,1,1,3,1,22,12,20,7,False,False,True,True,0,0,0,10,3,20,7,False,False,False,False,False,North
-1,359,18,7,2.0,0.0,North,False,1,1,3,1,23,12,20,7,False,False,True,True,0,0,0,10,1,20,7,False,False,False,False,False,East
199,558,19,7,6.4,51.34,East,False,1,1,3,1,23,12,7,1,False,False,True,False,0,0,0,9,0,23,12,False,False,False,False,False,North
-1,557,19,8,5.0,36.87,North,False,1,1,3,1,23,11,7,1,False,False,True,False,0,0,0,7,0,23,11,False,False,False,False,False,North
