@relation training_keyboard_prueba2-weka.filters.unsupervised.attribute.Remove-R34-64

@attribute diff numeric
@attribute totalScore numeric
@attribute POSx numeric
@attribute POSy numeric
@attribute module numeric
@attribute angle numeric
@attribute direction {Stop,East,West,North,South}
@attribute wall_ahead {True,False}
@attribute G1_POSX numeric
@attribute G1_POSY numeric
@attribute G2_POSX numeric
@attribute G2_POSY numeric
@attribute G3_POSX numeric
@attribute G3_POSY numeric
@attribute G4_POSX numeric
@attribute G4_POSY numeric
@attribute ALIVE_G1 {True,False}
@attribute ALIVE_G2 {True,False}
@attribute ALIVE_G3 {True,False}
@attribute ALIVE_G4 {True,False}
@attribute ghost_count numeric
@attribute G1_DIST numeric
@attribute G2_DIST numeric
@attribute G3_DIST numeric
@attribute G4_DIST numeric
@attribute closest_posX numeric
@attribute closest_posY numeric
@attribute G1_CLOSE {True,False}
@attribute G2_CLOSE {True,False}
@attribute G3_CLOSE {True,False}
@attribute G4_CLOSE {True,False}
@attribute ghost_is_close {True,False}
@attribute action {Stop,East,West,North,South}

@data
-1,0,1,18,9.85,-66.04,Stop,True,5,9,11,3,17,6,25,13,True,True,True,True,4,13,25,28,29,5,9,False,False,False,False,False,Stop
-1,-1,1,18,8.94,-63.43,Stop,True,5,10,11,4,18,6,25,13,True,True,True,True,4,12,24,29,29,5,10,False,False,False,False,False,Stop
-1,-2,1,18,8.54,-69.44,Stop,True,4,10,11,4,18,6,25,13,True,True,True,True,4,11,24,29,28,4,10,False,False,False,False,False,Stop
-1,-3,1,18,8.94,-63.43,Stop,True,5,10,11,3,18,5,25,14,True,True,True,True,4,12,25,30,29,5,10,False,False,False,False,False,Stop
-1,-4,1,18,8.94,-63.43,Stop,False,5,10,10,3,17,5,25,13,True,True,True,True,4,12,24,29,29,5,10,False,False,False,False,False,South
-1,-5,1,17,8.94,-63.43,South,False,5,9,10,3,17,4,25,13,True,True,True,True,4,12,23,29,28,5,9,False,False,False,False,False,South
-1,-6,1,16,8.94,-63.43,South,False,5,8,9,3,17,3,25,13,True,True,True,True,4,12,21,29,27,5,8,False,False,False,False,False,South
-1,-7,1,15,8.94,-63.43,South,False,5,7,8,3,17,3,25,13,True,True,True,True,4,12,19,28,26,5,7,False,False,False,False,False,South
-1,-8,1,14,8.06,-60.26,South,False,5,7,8,3,17,4,25,13,True,True,True,True,4,11,18,26,24,5,7,False,False,False,False,False,South
-1,-9,1,13,7.21,-56.31,South,False,5,7,8,3,16,4,25,14,True,True,True,True,4,10,17,24,24,5,7,False,False,False,False,False,South
-1,-10,1,12,5.66,-45,South,False,5,8,9,3,17,4,25,13,True,True,True,True,4,8,17,24,25,5,8,False,False,False,False,False,South
-1,-11,1,11,5,-36.87,South,False,5,8,9,4,17,5,25,13,True,True,True,True,4,7,15,22,27,5,8,False,False,False,False,False,South
-1,-12,1,10,5.39,-21.8,South,False,6,8,9,3,17,6,25,14,True,True,True,True,4,7,15,20,28,6,8,False,False,False,False,False,South
-1,-13,1,9,4.12,-14.04,South,False,5,8,9,4,17,5,25,14,True,True,True,True,4,5,13,20,29,5,8,False,False,True,False,True,South
-1,-14,1,8,4,0,South,False,5,8,10,4,17,4,25,14,True,True,True,True,4,4,13,20,29,5,8,False,False,False,False,False,South
-1,-15,1,7,3.16,18.43,South,False,4,8,9,4,18,4,24,14,True,True,True,True,4,4,11,20,29,4,8,False,False,False,False,False,South
-1,-16,1,6,2.83,45,South,False,3,8,9,3,19,4,23,14,True,True,True,True,4,4,11,20,29,3,8,False,False,False,False,False,East
199,-17,2,6,1.41,45,East,False,3,7,8,3,19,5,22,14,True,True,True,True,4,2,9,18,29,3,7,False,True,False,False,True,East
-1,182,3,6,5.39,-21.8,East,False,1,1,8,4,20,5,23,14,False,True,True,True,3,0,7,18,27,8,4,False,False,False,False,False,North
-1,181,3,7,6.4,-38.66,North,False,1,1,8,3,19,5,23,13,False,True,True,True,3,0,9,18,26,8,3,False,False,False,False,False,North
-1,180,3,8,6.4,-38.66,North,False,1,1,8,4,18,5,23,13,False,True,True,True,3,0,9,18,25,8,4,False,False,False,False,False,North
-1,179,3,9,7.07,-45,North,False,1,1,8,4,18,5,23,13,False,True,True,True,3,0,10,19,25,8,4,False,False,False,False,False,North
-1,178,3,10,8.6,-54.46,North,True,1,1,8,3,17,5,23,14,False,True,True,True,3,0,12,19,24,8,3,False,False,False,False,False,Stop
-1,177,3,10,8.06,-60.26,North,True,1,1,7,3,17,6,23,14,False,True,True,True,3,0,11,18,25,7,3,False,False,False,False,False,Stop
-1,176,3,10,8.06,-60.26,North,False,1,1,7,3,18,6,23,15,False,True,True,True,3,0,11,19,26,7,3,False,False,False,False,False,East
-1,175,4,10,7.62,-66.8,East,False,1,1,7,3,19,6,23,16,False,True,True,True,3,0,10,19,25,7,3,False,False,False,False,False,East
-1,174,5,10,7.28,-74.05,East,False,1,1,7,3,19,6,23,16,False,True,True,True,3,0,9,18,23,7,3,False,False,False,False,False,East
-1,173,6,10,7.07,-81.87,East,True,1,1,7,3,19,5,22,16,False,True,True,True,3,0,8,18,21,7,3,False,True,False,False,True,Stop
-1,172,6,10,7,-90,East,False,1,1,6,3,20,5,22,15,False,True,True,True,3,0,7,19,22,6,3,False,False,False,False,False,South
-1,171,6,9,6.08,-80.54,South,False,1,1,7,3,19,5,22,16,False,True,True,True,3,0,7,17,22,7,3,False,True,False,False,True,South
-1,170,6,8,5.1,-78.69,South,False,1,1,7,3,18,5,21,16,False,True,True,True,3,0,6,15,23,7,3,False,True,False,False,True,South
-1,169,6,7,4.12,-75.96,South,False,1,1,7,3,17,5,21,16,False,True,True,True,3,0,5,13,24,7,3,False,True,False,False,True,South
-1,168,6,6,3.61,-56.31,South,False,1,1,8,3,17,5,21,16,False,True,True,True,3,0,5,12,24,8,3,False,False,False,False,False,East
-1,167,7,6,3.16,-71.57,East,False,1,1,8,3,17,4,20,16,False,True,True,True,3,0,4,12,23,8,3,False,True,False,False,True,East
-1,166,8,6,2,-90,East,False,1,1,8,4,17,4,20,16,False,True,True,True,3,0,2,11,23,8,4,False,False,False,False,False,South
-1,165,8,5,2,-90,South,False,1,1,8,3,17,5,21,16,False,True,True,True,3,0,2,9,25,8,3,False,False,False,False,False,South
-1,164,8,4,1.41,-135,South,False,1,1,7,3,17,4,22,16,False,True,True,True,3,0,2,9,25,7,3,True,False,False,False,True,South
-1,163,8,3,1,180,South,True,1,1,7,3,17,3,22,15,False,True,True,True,3,0,1,9,25,7,3,True,False,False,False,True,Stop
-1,162,8,3,2,180,South,False,1,1,6,3,17,3,21,15,False,True,True,True,3,0,2,9,26,6,3,False,False,False,False,False,North
-1,161,8,4,3.16,-161.57,North,False,1,1,5,3,18,3,22,15,False,True,True,True,3,0,4,11,24,5,3,False,False,True,False,True,North
-1,160,8,5,3.61,-146.31,North,False,1,1,5,3,17,3,21,15,False,True,True,True,3,0,5,11,22,5,3,False,False,False,False,False,North
-1,159,8,6,3.61,-123.69,North,False,1,1,6,3,17,3,20,15,False,True,True,True,3,0,5,12,21,6,3,False,False,False,False,False,West
-1,158,7,6,3,-90,West,False,1,1,7,3,16,3,20,15,False,True,True,True,3,0,3,12,22,7,3,False,False,False,False,False,West
-1,157,6,6,3,-90,West,False,1,1,6,3,17,3,20,15,False,True,True,True,3,0,3,14,24,6,3,False,False,False,False,False,West
-1,156,5,6,3.16,-71.57,West,False,1,1,6,3,16,3,20,16,False,True,True,True,3,0,4,14,26,6,3,False,True,False,False,True,South
-1,155,5,5,2,-90,South,False,1,1,5,3,17,3,20,17,False,True,True,True,3,0,2,14,28,5,3,False,False,False,False,False,South
199,154,5,4,1.41,-135,South,False,1,1,4,3,17,4,20,18,False,True,True,True,3,0,2,12,28,4,3,True,False,False,False,True,South
-1,353,5,3,12,0,South,True,1,1,3,1,17,3,19,18,False,False,True,True,2,0,0,12,29,17,3,False,False,False,False,False,Stop
-1,352,5,3,12.04,4.76,South,False,1,1,3,1,17,4,19,18,False,False,True,True,2,0,0,13,29,17,4,False,False,False,False,False,East
-1,351,6,3,11.18,10.3,East,False,1,1,3,1,17,5,19,18,False,False,True,True,2,0,0,13,27,17,5,False,False,False,False,False,East
-1,350,7,3,10.44,16.7,East,False,1,1,3,1,17,6,19,17,False,False,True,True,2,0,0,13,25,17,6,False,False,False,False,False,East
-1,349,8,3,10.44,16.7,East,False,1,1,3,1,18,6,18,17,False,False,True,True,2,0,0,13,25,18,6,False,False,False,False,False,East
-1,348,9,3,8.54,20.56,East,False,1,1,3,1,17,6,18,18,False,False,True,True,2,0,0,11,23,17,6,False,False,False,False,False,East
-1,347,10,3,7.62,23.2,East,False,1,1,3,1,17,6,18,17,False,False,True,True,2,0,0,10,22,17,6,False,False,False,False,False,East
-1,346,11,3,5.83,30.96,East,True,1,1,3,1,16,6,18,17,False,False,True,True,2,0,0,8,22,16,6,False,False,False,False,False,Stop
-1,345,11,3,6.71,26.57,East,False,1,1,3,1,17,6,18,18,False,False,True,True,2,0,0,9,21,17,6,False,False,False,False,False,North
-1,344,11,4,6.08,9.46,North,False,1,1,3,1,17,5,17,18,False,False,True,True,2,0,0,7,21,17,5,False,False,False,False,False,North
-1,343,11,5,7,0,North,False,1,1,3,1,18,5,18,18,False,False,True,True,2,0,0,7,20,18,5,False,False,False,False,False,North
-1,342,11,6,7.07,-8.13,North,False,1,1,3,1,18,5,18,18,False,False,True,True,2,0,0,8,18,18,5,False,False,True,False,True,North
-1,341,11,7,8.25,-14.04,North,False,1,1,3,1,19,5,17,18,False,False,True,True,2,0,0,10,16,19,5,False,False,False,False,False,North
-1,340,11,8,8.54,-20.56,North,False,1,1,3,1,19,5,17,17,False,False,True,True,2,0,0,11,14,19,5,False,False,False,False,False,North
-1,339,11,9,9.22,49.4,North,False,1,1,3,1,20,5,17,16,False,False,True,True,2,0,0,13,12,17,16,False,False,False,False,False,North
-1,338,11,10,7.81,39.81,North,False,1,1,3,1,20,6,17,15,False,False,True,True,2,0,0,13,10,17,15,False,False,False,False,False,North
-1,337,11,11,6.71,26.57,North,False,1,1,3,1,20,6,17,14,False,False,True,True,2,0,0,14,8,17,14,False,False,False,False,False,North
-1,336,11,12,5.39,21.8,North,False,1,1,3,1,21,6,16,14,False,False,True,True,2,0,0,16,8,16,14,False,False,False,False,False,East
-1,335,12,12,5,36.87,East,False,1,1,3,1,22,6,16,15,False,False,True,True,2,0,0,16,6,16,15,False,False,False,False,False,East
-1,334,13,12,3.61,56.31,East,False,1,1,3,1,23,6,15,15,False,False,True,True,2,0,0,16,6,15,15,False,False,False,False,False,South
-1,333,13,11,5,53.13,South,False,1,1,3,1,23,6,16,15,False,False,True,True,2,0,0,15,8,16,15,False,False,False,False,False,South
-1,332,13,10,6.71,63.43,South,False,1,1,3,1,23,7,16,16,False,False,True,True,2,0,0,13,10,16,16,False,False,False,False,False,South
-1,331,13,9,8.06,60.26,South,False,1,1,3,1,24,7,17,16,False,False,True,True,2,0,0,13,10,17,16,False,False,False,False,False,South
-1,330,13,8,8.06,60.26,South,False,1,1,3,1,24,7,17,15,False,False,True,True,2,0,0,12,10,17,15,False,False,False,False,False,South
-1,329,13,7,10,0,South,False,1,1,3,1,23,7,17,14,False,False,True,True,2,0,0,10,10,23,7,False,False,False,False,False,South
-1,328,13,6,10,0,South,False,1,1,3,1,23,6,16,14,False,False,True,True,2,0,0,10,11,23,6,False,False,False,False,False,South
-1,327,13,5,10.05,5.71,South,False,1,1,3,1,23,6,16,14,False,False,True,True,2,0,0,11,11,23,6,False,False,False,False,False,South
-1,326,13,4,10.05,5.71,South,False,1,1,3,1,23,5,15,14,False,False,True,True,2,0,0,11,13,23,5,False,False,False,False,False,South
-1,325,13,3,10.2,11.31,South,True,1,1,3,1,23,5,15,15,False,False,True,True,2,0,0,12,15,23,5,False,False,False,False,False,Stop
-1,324,13,3,10.44,16.7,South,False,1,1,3,1,23,6,15,16,False,False,True,True,2,0,0,13,16,23,6,False,False,False,False,False,East
-1,323,14,3,9.49,18.43,East,False,1,1,3,1,23,6,15,17,False,False,True,True,2,0,0,12,14,23,6,False,False,False,False,False,East
-1,322,15,3,7.62,23.2,East,False,1,1,3,1,22,6,14,17,False,False,True,True,2,0,0,10,14,22,6,False,False,False,False,False,East
